,Accuracy,Precision,Recall,Training_time,AUC
Log.Reg.,0.7857142857142857,0.75,0.7058823529411765,0.03233599662780762,0.8423529411764705
Log.Reg.+Std. data,0.8095238095238095,0.7647058823529411,0.7647058823529411,0.01214909553527832,0.8635294117647059
Log.Reg.+SelectKBest,0.7857142857142857,0.75,0.7058823529411765,0.007287502288818359,0.8470588235294118
Log.Reg.+RFE,0.7857142857142857,0.75,0.7058823529411765,0.1570143699645996,0.8423529411764705
Log.Reg.+Rand.For.,0.8333333333333334,0.7777777777777778,0.8235294117647058,1.4576034545898438,0.868235294117647
SVC,0.8333333333333334,1.0,0.5882352941176471,0.019121408462524414,0.9270588235294117
SVC+Std. data,0.9047619047619048,1.0,0.7647058823529411,0.012391805648803711,0.955294117647059
SVC+SelectKBest,0.8809523809523809,1.0,0.7058823529411765,0.011628389358520508,0.8776470588235294
SVC+RFE,0.8571428571428571,1.0,0.6470588235294118,0.21641898155212402,0.9364705882352942
SVC+Rand.For.,0.9047619047619048,1.0,0.7647058823529411,1.5710058212280273,0.9458823529411765
DT,0.8095238095238095,0.7368421052631579,0.8235294117647058,0.006775856018066406,0.811764705882353
DT+Std. data,0.7142857142857143,0.6190476190476191,0.7647058823529411,0.006186962127685547,0.7223529411764705
DT+SelectKBest,0.7619047619047619,0.7058823529411765,0.7058823529411765,0.008015155792236328,0.7529411764705883
DT+RFE,0.8095238095238095,0.7647058823529411,0.7647058823529411,0.19606351852416992,0.8023529411764705
DT+Rand.For.,0.7619047619047619,0.6842105263157895,0.7647058823529411,1.549626350402832,0.7623529411764706
